taxon,pollinator_group,order,family,genus,species,taxon_rank,pollinator_group_sociality
Hylaeus communis,Anthophila,Hymenoptera,Colletidae,Hylaeus,communis,Species,solitary_Bees
Hylaeus confusus,Anthophila,Hymenoptera,Colletidae,Hylaeus,confusus,Species,solitary_Bees
Hylaeus cornutus,Anthophila,Hymenoptera,Colletidae,Hylaeus,cornutus,Species,solitary_Bees
Hylaeus difformis,Anthophila,Hymenoptera,Colletidae,Hylaeus,difformis,Species,solitary_Bees
Hylaeus gibbus,Anthophila,Hymenoptera,Colletidae,Hylaeus,gibbus,Species,solitary_Bees
Hylaeus gredleri,Anthophila,Hymenoptera,Colletidae,Hylaeus,gredleri,Species,solitary_Bees
Hylaeus hyalinatus,Anthophila,Hymenoptera,Colletidae,Hylaeus,hyalinatus,Species,solitary_Bees
Hylaeus leptocephalus,Anthophila,Hymenoptera,Colletidae,Hylaeus,leptocephalus,Species,solitary_Bees
Hylaeus pictipes,Anthophila,Hymenoptera,Colletidae,Hylaeus,pictipes,Species,solitary_Bees
Hylaeus punctatus,Anthophila,Hymenoptera,Colletidae,Hylaeus,punctatus,Species,solitary_Bees
Hylaeus sinuatus,Anthophila,Hymenoptera,Colletidae,Hylaeus,sinuatus,Species,solitary_Bees
Hylaeus sp.,Anthophila,Hymenoptera,Colletidae,Hylaeus,sp.,Genus,solitary_Bees
Hylaeus styriacus,Anthophila,Hymenoptera,Colletidae,Hylaeus,styriacus,Species,solitary_Bees
Hylaeus taeniolatus,Anthophila,Hymenoptera,Colletidae,Hylaeus,taeniolatus,Species,solitary_Bees
Isodontia mexicana,Wasps,Hymenoptera,Sphecidae,Isodontia,mexicana,Species,Wasps
Lasioglossum calceatum,Anthophila,Hymenoptera,Halictidae,Lasioglossum,calceatum,Species,no
Lasioglossum fulvicorne,Anthophila,Hymenoptera,Halictidae,Lasioglossum,fulvicorne,Species,solitary_Bees
Lasioglossum glabriusculum,Anthophila,Hymenoptera,Halictidae,Lasioglossum,glabriusculum,Species,social_Bees
Lasioglossum laticeps,Anthophila,Hymenoptera,Halictidae,Lasioglossum,laticeps,Species,social_Bees
Lasioglossum lativentre,Anthophila,Hymenoptera,Halictidae,Lasioglossum,lativentre,Species,solitary_Bees
Lasioglossum leucozonium,Anthophila,Hymenoptera,Halictidae,Lasioglossum,leucozonium,Species,solitary_Bees
Lasioglossum malachurum,Anthophila,Hymenoptera,Halictidae,Lasioglossum,malachurum,Species,social_Bees
Lasioglossum morio,Anthophila,Hymenoptera,Halictidae,Lasioglossum,morio,Species,social_Bees
Lasioglossum nitidulum,Anthophila,Hymenoptera,Halictidae,Lasioglossum,nitidulum,Species,social_Bees
Lasioglossum pauxillum,Anthophila,Hymenoptera,Halictidae,Lasioglossum,pauxillum,Species,social_Bees
Lasioglossum politum,Anthophila,Hymenoptera,Halictidae,Lasioglossum,politum,Species,social_Bees
Lasioglossum villosulum,Anthophila,Hymenoptera,Halictidae,Lasioglossum,villosulum,Species,social_Bees
Lasioglossum zonulum,Anthophila,Hymenoptera,Halictidae,Lasioglossum,zonulum,Species,social_Bees
Lestica clypeata,Wasps,Hymenoptera,Crabronidae,Lestica,clypeata,Species,Wasps
Malachius bipustulatus,Beetles,Coleoptera,Malachiidae,Malachius,bipustulatus,Species,Beetles
Megachile centuncularis,Anthophila,Hymenoptera,Megachilidae,Megachile,centuncularis,Species,solitary_Bees
Megachile ericetorum,Anthophila,Hymenoptera,Megachilidae,Megachile,ericetorum,Species,solitary_Bees
Megachile willughbiella,Anthophila,Hymenoptera,Megachilidae,Megachile,willughbiella,Species,solitary_Bees
Melangyna auricollis,Hoverflies,Diptera,Syrphidae,Melangyna,auricolis,Species,Hoverflies
Melangyna umbellatarum,Hoverflies,Diptera,Syrphidae,Melangyna,umbellatarum,Species,Hoverflies
Melanostoma mellinum,Hoverflies,Diptera,Syrphidae,Melanostoma,mellinum,Species,Hoverflies
Melanostoma scalare,Hoverflies,Diptera,Syrphidae,Melanostoma,scalare,Species,Hoverflies
Meliscaeva auricollis,Hoverflies,Diptera,Syrphidae,Meliscaeva,auricollis,Species,Hoverflies
Mimumesa sp.,Wasps,Hymenoptera,Sphecidae,Mimumesa,sp.,Genus,Wasps
Mordella sp.,Beetles,Coleoptera,Mordellidae,Mordella,sp.,Genus,Beetles
Myathropa florea,Hoverflies,Diptera,Syrphidae,Myathropa,florea,Species,Hoverflies
Oedemera femorata,Beetles,Coleoptera,Oedemeridae,Oedemera,femorata,Species,Beetles
Oedemera lurida,Beetles,Coleoptera,Oedemeridae,Oedemera,lurida,Species,Beetles
Oedemera nobilis,Beetles,Coleoptera,Oedemeridae,Oedemera,nobilis,Species,Beetles
Omalus biaccinctus,Wasps,Hymenoptera,Chrysididae,Omalus,biaccinctus,Species,Wasps
Orthonevra nobilis,Hoverflies,Diptera,Syrphidae,Orthonevra,nobilis,Species,Hoverflies
Osmia adunca,Anthophila,Hymenoptera,Megachilidae,Osmia,adunca,Species,solitary_Bees
Osmia bicornis,Anthophila,Hymenoptera,Megachilidae,Osmia,bicornis,Species,solitary_Bees
Osmia brevicornis,Anthophila,Hymenoptera,Megachilidae,Osmia,brevicornis,Species,solitary_Bees
Osmia caerulescens,Anthophila,Hymenoptera,Megachilidae,Osmia,caerulescens,Species,solitary_Bees
Osmia leucomelana,Anthophila,Hymenoptera,Megachilidae,Osmia,leucomelana,Species,solitary_Bees
Oxybelus bipunctatus,Wasps,Hymenoptera,Crabronidae,Oxybelus,bipunctatus,Species,Wasps
Oxybelus sp.,Wasps,Hymenoptera,Crabronidae,Oxybelus,sp.,Genus,Wasps
Oxybelus trispinosus,Wasps,Hymenoptera,Crabronidae,Oxybelus,trispinosus,Species,Wasps
Oxythyrea funesta,Beetles,Coleoptera,Scarabaeidae,Oxythyrea,funesta,Species,Beetles
Paragus albifrons,Hoverflies,Diptera,Syrphidae,Paragus,albifrons,Species,Hoverflies
Paragus haemorrhous,Hoverflies,Diptera,Syrphidae,Paragus,haemorrhous,Species,Hoverflies
Paragus sp.,Hoverflies,Diptera,Syrphidae,Paragus,sp.,Genus,Hoverflies
Passaloceus sp.,Wasps,Hymenoptera,Crabronidae,Passaloecus,sp.,Genus,Wasps
Passaloecus borealis,Wasps,Hymenoptera,Crabronidae,Passaloecus,borealis,Species,Wasps
Pipiza sp.,Hoverflies,Diptera,Syrphidae,Pipiza,sp.,Genus,Hoverflies
Pipizella sp.,Hoverflies,Diptera,Syrphidae,Pipizella,sp.,Genus,Hoverflies
Pipizella viduata,Hoverflies,Diptera,Syrphidae,Pipizella,viduata,Species,Hoverflies
Pipizella virens,Hoverflies,Diptera,Syrphidae,Pipizella,virens,Species,Hoverflies
Platycheirus albimanus,Hoverflies,Diptera,Syrphidae,Platycheirus,albimanus,Species,Hoverflies
Platycheirus scutatus,Hoverflies,Diptera,Syrphidae,Platycheirus,scutatus,Species,Hoverflies
Platycheirus sp.,Hoverflies,Diptera,Syrphidae,Platycheirus,sp.,Genus,Hoverflies
Polistes dominulus,Wasps,Hymenoptera,Vespidae,Polistes,dominulus,Species,Wasps
Psenulus pallipes,Wasps,Hymenoptera,Crabronidae,Psenulus,pallipes,Species,Wasps
Pseudomalus auratus,Wasps,Hymenoptera,Chrysididae,Pseudomalus,auratus,Species,Wasps
Pseudomalus pusillus,Wasps,Hymenoptera,Chrysididae,Pseudomalus,pusillus,Species,Wasps
Rutpela maculata,Beetles,Coleoptera,Cerambycidae,Rutpela,maculata,Species,Beetles
Sapygina decemguttata,Wasps,Hymenoptera,Sapygidae,Sapygina,decemguttata,Species,Wasps
Scaeva pyrastri,Hoverflies,Diptera,Syrphidae,Scaeva,pyrastri,Species,Hoverflies
Scaeva selenitica,Hoverflies,Diptera,Syrphidae,Scaeva,selenitica,Species,Hoverflies
Sphaerophoria interrupta,Hoverflies,Diptera,Syrphidae,Sphaerophoria,interrupta,Species,Hoverflies
Sphaerophoria scripta,Hoverflies,Diptera,Syrphidae,Sphaerophoria,scripta,Species,Hoverflies
Sphaerophoria sp.,Hoverflies,Diptera,Syrphidae,Sphaerophoria,sp.,Genus,Hoverflies
Sphaerophoria taeniata,Hoverflies,Diptera,Syrphidae,Sphaerophoria,taeniata,Species,Hoverflies
Sphecodes niger,Anthophila,Hymenoptera,Halictidae,Sphecodes,niger,Species,no
Sphecodes sp.,Anthophila,Hymenoptera,Halictidae,Sphecodes,sp.,Genus,no
Spilomena sp.,Wasps,Hymenoptera,Crabronidae,Spilomena,sp.,Genus,Wasps
Stenurella melanura,Beetles,Coleoptera,Cerambycidae,Stenurella,melanura,Species,Beetles
Stictoleptura rubra,Beetles,Coleoptera,Cerambycidae,Stictoleptura,rubra,Species,Beetles
Syritta pipiens,Hoverflies,Diptera,Syrphidae,Syritta,pipiens,Species,Hoverflies
Syrphidae,Hoverflies,Diptera,Syrphidae,,,Family,Hoverflies
Syrphus ribesii,Hoverflies,Diptera,Syrphidae,Syrphus,ribesii,Species,Hoverflies
Syrphus torvus,Hoverflies,Diptera,Syrphidae,Syrphus,torvus,Species,Hoverflies
Syrphus vitripennis,Hoverflies,Diptera,Syrphidae,Syrphus,vitripennis,Species,Hoverflies
Trichius fasciatus,Beetles,Coleoptera,Scarabaeidae,Trichius,fasciatus,Species,Beetles
Trichodes alvearius,Beetles,Coleoptera,Cleridae,Trichodes,alvearius,Species,Beetles
Trichodes apiarius,Beetles,Coleoptera,Cleridae,Trichodes,apiarius,Species,Beetles
Trypoxylon minus,Wasps,Hymenoptera,Crabronidae,Trypoxylon,minus,Species,Wasps
Variimorda sp.,Beetles,Coleoptera,Mordellidae,Variimorda,sp.,Genus,Beetles
Vespula vulgaris,Wasps,Hymenoptera,Vespidae,Vespula,vulgaris,Species,Wasps
Volucella zonaria,Hoverflies,Diptera,Syrphidae,Volucella,zonaria,Species,Hoverflies
